n,i,j,pstar,E,F3,F3_sign,S_minus,S_plus,slope_left,slope_right,certified_by
100,45,56,0.5049700454140149,92.50176072076077,6.03618708913244,+,-0.3735748022887368,0.1068084690188007,-1.494446868584049,0.4272760932629305,double
100,45,57,0.5099476629070172,92.50322508905037,6.926366545795744,+,-0.09634997007049617,0.3710408160396192,-0.3855524912071182,1.484750964208168,double
100,46,57,0.5149101830749367,92.50528178996795,7.10772295863211,+,-0.2718238797668144,0.2085211118628122,-1.088263261784111,0.8348268207390134,double
100,46,58,0.5198954380744938,92.50832925186178,7.850746081459803,+,-0.0001611129554123933,0.4671094842675834,-0.0006454738092552514,1.87140095206931,double
100,47,57,0.5198665122893092,92.5083279446318,7.416127563502727,+,-0.4620245490804606,0.0227215568268902,-1.85102042678112,0.0910299374752865,double
100,47,58,0.52485046161289,92.51196006254435,8.176737129270506,+,-0.1692238771013263,0.311043924222611,-0.6785717038574691,1.247256647523036,double
100,48,58,0.529799961603272,92.51658058481259,8.620694980776108,+,-0.3536396594174498,0.1311095248518597,-1.419601275542019,0.5263076234775499,double
100,48,59,0.5347909762135947,92.52180370529427,9.241525776654555,+,-0.0659668454201294,0.4141835842228381,-0.2651511502442597,1.664794686930177,double
100,49,59,0.5397336444667671,92.52799824188493,9.821035151515176,+,-0.2446880338347119,0.2400638669057278,-0.9849722845748407,0.9663580671449292,double
100,50,59,0.5446724154625969,92.53481019941016,10.49479703447617,+,-0.3952165441217125,0.08458711464017543,-1.593586982684625,0.341071057875358,double
100,50,60,0.5496676416723353,92.54259487584251,11.01568573073146,+,-0.1353547758704945,0.3493978551152562,-0.546814797687322,1.411519587901594,double
100,51,60,0.5546001976798677,92.55098939162181,11.81638245842204,+,-0.2808864310545242,0.1990992115690138,-1.137105394879416,0.8060082743812457,double
100,51,61,0.5596020366000329,92.56038851483321,12.20313753940368,+,-0.02582945829561787,0.4589197830221043,-0.104807101329474,1.862139408841494,double
100,52,60,0.5595304538249167,92.56038784856256,12.68660423904043,+,-0.4344630834113244,0.03040844013069521,-1.762841492750524,0.1233827729880086,double
100,52,61,0.5645283345004445,92.57037005202872,13.13147864186537,+,-0.1664647519650987,0.3137362041522688,-0.6771371494925599,1.276200735978173,double
100,53,61,0.5694529581127773,92.58136150641981,14.12027491361977,+,-0.3158375739682814,0.1494663456963242,-1.288206042827764,0.6096280670669191,double
100,53,62,0.5744568972382903,92.59297638193293,14.43878053928811,+,-0.05212820340157525,0.4283196186155638,-0.2132415119849049,1.752132571743698,double
100,54,61,0.5743768697011097,92.59298320884886,15.15253658924919,+,-0.4291867860411214,0.01036399853873254,-1.755594365696114,0.04239407650108386,double
100,54,62,0.5793758255694696,92.60556894867726,15.54722696481166,+,-0.1976269829795996,0.2681740708321256,-0.8109454494769901,1.100429400531209,double
100,55,62,0.5842946659353992,92.61880065671438,16.68974700803346,+,-0.3074748815096529,0.132792674450336,-1.265878792362083,0.5467094727945941,double
100,55,63,0.5892991165903617,92.6330411229155,16.96634307830818,+,-0.07990365523053389,0.3864583789056583,-0.3301453765822339,1.596766088723469,double
100,56,63,0.5942128077445946,92.64789452784316,18.22049517608073,+,-0.1865389539461514,0.2545364474106445,-0.7736226798612925,1.055624921243204,double
100,57,63,0.5991280155772627,92.66378466015621,19.48050558973522,+,-0.2942790782180068,0.1104168066053108,-1.225276356191782,0.4597374141544037,double
100,57,64,0.6041313453632225,92.68030290634155,19.74384170773858,+,-0.06690041374883815,0.3750743309896382,-0.2797346849300132,1.568320641463059,double
100,58,64,0.6090419462830778,92.69784245818896,21.10721524982866,+,-0.1726146396607094,0.2331833205574919,-0.7249369851630648,0.9793098298471742,double
100,59,64,0.6139557072020447,92.71603410217121,22.44599244094529,+,-0.2351427411122038,0.1235554057480819,-0.9921044540844841,0.5212998189486782,double
100,59,65,0.6189562244833915,92.73527627447309,22.72735726390129,+,-0.05364071793044436,0.3533722714167685,-0.2274362968153236,1.498296143471909,double
100,60,64,0.6188736586644742,92.7352839378682,23.73838777564837,+,-0.2915259353537175,0.009859489139917299,-1.235965173493678,0.04180068984459748,double
100,60,65,0.6238659307102498,92.75514920384161,24.16072343422965,+,-0.115592178775235,0.2444362630368927,-0.4926001137043243,1.041673686241049,double
100,61,65,0.6287805010760464,92.77609804559327,25.53632923230382,+,-0.1725093573342047,0.1301940471582453,-0.7390652991332262,0.5577778730110388,double
100,62,65,0.6337010143196623,92.79770228414726,26.83022076658447,+,-0.1700208589577019,0.06618910684504026,-0.7324569219918019,0.2851454213695381,double
100,62,66,0.6386875306479001,92.82039039451456,27.33065849552882,+,-0.04682819478850394,0.2573177375993114,-0.2029252216363436,1.115060257375575,double
100,63,66,0.6436052775452472,92.84373836324531,28.69708786767868,+,-0.05327670397503041,0.1842117395494868,-0.2322664530739875,0.8030941137012043,double
100,64,66,0.6485308209901931,92.86819710722361,29.9428264931972,+,-0.05009012798067625,0.113058040618279,-0.2197527274098282,0.4960021821278349,double
200,92,109,0.5024934985222976,189.2023001112697,8.977208463354103,+,-0.1186647655029573,0.3477167778499933,-0.4746708671425225,1.390901703319397,double
200,93,109,0.5049856322428623,189.2028206893688,9.060340476762661,+,-0.3294260399039354,0.1471586294409638,-1.317835186849166,0.5886930492269289,double
200,93,110,0.5074804991311335,189.2035526190812,9.931363774802236,+,-0.05141135753367799,0.4149497286828122,-0.2056914703586838,1.660170513136,double
200,94,110,0.5099712707882632,189.2046333881039,10.12021582617288,+,-0.2589197927624645,0.2176452651363781,-1.036091229675607,0.8709274327092473,double
200,95,110,0.5124608884586693,189.2059274474402,10.40207636673355,+,-0.4516110679863098,0.03106723370344472,-1.807566942671723,0.1243461655911095,double
200,95,111,0.5149569219514211,189.2075686015845,11.17915998512639,+,-0.1880828161384253,0.2884494842135429,-0.7530050821583639,1.154831323872239,double
200,96,111,0.5174452632146879,189.2094236904294,11.56146947015795,+,-0.3777314792829709,0.1049293192860522,-1.512767482864046,0.4202288422355355,double
200,96,112,0.5199425920729543,189.2116272190492,12.23670501596861,+,-0.1169499632397042,0.3595363255075824,-0.4685452277863162,1.440436789083264,double
200,97,112,0.5224296573899883,189.2140431477166,12.71942166287077,+,-0.303568593251227,0.1790687016141858,-1.216722855125286,0.7177191143461918,double
200,97,113,0.5249282875317289,189.216810473655,13.29238015840416,+,-0.04555605293373929,0.4308708185066417,-0.1826782911584442,1.72777797385821,double
